City,Population,County,State,FullState,MSA,Population Score,Closest Airport,Proximity to Airport,Airport Score
New York,8537673,Bronx County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",10,Newark Liberty International Airport,28 min,0.8
Los Angeles,3976322,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",10,Los Angeles International Airport,25 min,2
Chicago,2704958,Cook County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",10,O'Hare International Airport,31 min,0
Houston,2303482,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",10,George Bush Intercontinental Airport,21 min,3.6
Phoenix,1615017,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",10,Phoenix Sky Harbor International Airport,9 min,8.4
Philadelphia,1567872,Philadelphia County,PA,Pennsylvania,"Philadelphia, PA Metropolitan Division",10,Philadelphia International Airport,16 min,5.6
San Antonio,1492510,Bexar County,TX,Texas,"San Antonio-New Braunfels, TX",10,San Antonio International Airport,14 min,6.4
San Diego,1406630,San Diego County,CA,California,"San Diego-Carlsbad, CA",10,San Diego International Airport,11 min,7.6
Dallas,1317929,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",10,Dallas/Fort Worth International Airport,23 min,2.8
San Jose,1025350,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",10,Oakland International Airport,42 min,0
Austin,947890,Travis County,TX,Texas,"Austin-Round Rock, TX",9.2,Austin-Bergstrom International Airport,15 min,6
Jacksonville,880619,Duval County,FL,Florida,"Jacksonville, FL",8.6,Jacksonville International Airport,18 min,4.8
San Francisco,870887,San Francisco County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",8.5,Oakland International Airport,26 min,1.6
Columbus,860090,Franklin County,OH,Ohio,"Columbus, OH",8.4,John Glenn Columbus International Airport,11 min,7.6
Indianapolis,855164,Marion County,IN,Indiana,"Indianapolis-Carmel-Anderson, IN",8.3,Indianapolis International Airport,17 min,5.2
Fort Worth,854113,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",8.3,Dallas/Fort Worth International Airport,25 min,2
Charlotte,842051,Mecklenburg County,NC,North Carolina,"Charlotte-Concord-Gastonia, NC-SC",8.2,Charlotte Douglas International Airport,16 min,5.6
Seattle,704352,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",6.9,Seattle-Tacoma International Airport,16 min,5.6
Denver,693060,Denver County,CO,Colorado,"Denver-Aurora-Lakewood, CO",6.8,Denver International Airport,30 min,0
El Paso,683080,El Paso County,TX,Texas,"El Paso, TX",6.7,Ciudad Juarez International Airport,36 min,0
Washington,681170,District of Columbia,DC,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",6.6,Baltimore/Washington International Thurgood Marshall Airport,46 min,0
Boston,673184,Suffolk County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",6.6,Boston Logan International Airport,7 min,9.2
Detroit,672795,Wayne County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",6.6,Detroit Metropolitan Wayne County Airport,25 min,2
Nashville-Davidson County,660388,Davidson County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",6.4,Nashville International Airport,12 min,7.2
Memphis,652717,Shelby County,TN,Tennessee,"Memphis, TN-MS-AR",6.4,Memphis International Airport,13 min,6.8
Portland,639863,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",6.2,Portland International Airport,21 min,3.6
Oklahoma City,638367,Oklahoma County,OK,Oklahoma,"Oklahoma City, OK",6.2,Will Rogers World Airport,14 min,6.4
Las Vegas,632912,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",6.2,McCarran International Airport,15 min,6
Lousville-Jefferson County,616261,Jefferson County,KY,Kentucky,"Louisville/Jefferson County, KY-IN",6,Louisville International Airport,10 min,8
Baltimore,614664,Baltimore County,MD,Maryland,"Baltimore-Columbia-Towson, MD",6,Baltimore/Washington International Thurgood Marshall Airport,17 min,5.2
Milwaukee,595047,Milwaukee County,WI,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",5.8,General Mitchell International Airport,14 min,6.4
Albuquerque,559277,Bernalillo County,NM,New Mexico,"Albuquerque, NM",5.5,Albuquerque International Sunport,10 min,8
Tucson,530706,Pima County,AZ,Arizona,"Tucson, AZ",5.2,Tucson International Airport,23 min,2.8
Fresno,522053,Fresno County,CA,California,"Fresno, CA",5.1,Fresno Yosemite International Airport,9 min,8.4
Sacramento,495234,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",4.8,Sacramento International Airport,14 min,6.4
Mesa,484587,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",4.7,Phoenix Sky Harbor International Airport,18 min,4.8
Kansas City,481420,Jackson County,MO,Missouri,"Kansas City, MO-KS",4.7,Kansas City International Airport,22 min,3.2
Atlanta,472522,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",4.6,Hartsfield-Jackson Atlanta International Airport,11 min,7.6
Long Beach,470130,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",4.6,Los Angeles International Airport,25 min,2
Colorado Springs,465101,El Paso County,CO,Colorado,"Colorado Springs, CO",4.5,Colorado Springs Airport,18 min,4.8
Raleigh,458880,Wake County,NC,North Carolina,"Raleigh, NC",4.5,Raleigh-Durham International Airport,19 min,4.4
Miami,453579,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",4.4,Miami International Airport,14 min,6.4
Virginia Beach,452602,Virginia Beach city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",4.4,Norfolk International Airport,24 min,2.4
Omaha,446970,Douglas County,NE,Nebraska,"Omaha-Council Bluffs, NE-IA",4.4,Millard Airport,17 min,5.2
Oakland,420005,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",4.1,Oakland International Airport,14 min,6.4
