City,Population,County,State,FullState,MSA,,
New York,8537673,Bronx County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Los Angeles,3976322,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Chicago,2704958,Cook County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",,
Houston,2303482,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",,
Phoenix,1615017,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Philadelphia,1567872,Philadelphia County,PA,Pennsylvania,"Philadelphia, PA Metropolitan Division",,
San Antonio,1492510,Bexar County,TX,Texas,"San Antonio-New Braunfels, TX",,
San Diego,1406630,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Dallas,1317929,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
San Jose,1025350,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",,
Austin,947890,Travis County,TX,Texas,"Austin-Round Rock, TX",,
Jacksonville,880619,Duval County,FL,Florida,"Jacksonville, FL",,
San Francisco,870887,San Francisco County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Columbus,860090,Franklin County,OH,Ohio,"Columbus, OH",,
Indianapolis,855164,Marion County,IN,Indiana,"Indianapolis-Carmel-Anderson, IN",,
Fort Worth,854113,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Charlotte,842051,Mecklenburg County,NC,North Carolina,"Charlotte-Concord-Gastonia, NC-SC",,
Seattle,704352,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Denver,693060,Denver County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
El Paso,683080,El Paso County,TX,Texas,"El Paso, TX",,
Washington,681170,District of Columbia,DC,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",,
Boston,673184,Suffolk County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",,
Detroit,672795,Wayne County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",,
Nashville-Davidson County,660388,Davidson County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",,
Memphis,652717,Shelby County,TN,Tennessee,"Memphis, TN-MS-AR",,
Portland,639863,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",,
Oklahoma City,638367,Oklahoma County,OK,Oklahoma,"Oklahoma City, OK",,
Las Vegas,632912,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",,
Lousville-Jefferson County,616261,Jefferson County,KY,Kentucky,"Louisville/Jefferson County, KY-IN",,
Baltimore,614664,Baltimore County,MD,Maryland,"Baltimore-Columbia-Towson, MD",,
Milwaukee,595047,Milwaukee County,WI,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",,
Albuquerque,559277,Bernalillo County,NM,New Mexico,"Albuquerque, NM",,
Tucson,530706,Pima County,AZ,Arizona,"Tucson, AZ",,
Fresno,522053,Fresno County,CA,California,"Fresno, CA",,
Sacramento,495234,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",,
Mesa,484587,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Kansas City,481420,Jackson County,MO,Missouri,"Kansas City, MO-KS",,
Atlanta,472522,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",,
Long Beach,470130,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Colorado Springs,465101,El Paso County,CO,Colorado,"Colorado Springs, CO",,
Raleigh,458880,Wake County,NC,North Carolina,"Raleigh, NC",,
Miami,453579,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Virginia Beach,452602,Virginia Beach city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Omaha,446970,Douglas County,NE,Nebraska,"Omaha-Council Bluffs, NE-IA",,
Oakland,420005,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Minneapolis,413651,Hennepin County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",,
Tulsa,403090,Tulsa County,OK,Oklahoma,"Tulsa, OK",,
Arlington,392772,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
New Orleans,391495,Orleans Parish,LA,Louisiana,"New Orleans-Metairie, LA",,
Wichita,389902,Sedgwick County,KS,Kansas,"Wichita, KS",,
Cleveland,385809,Cuyahoga County,OH,Ohio,"Cleveland-Elyria, OH",,
Tampa,377165,Hillsborough County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",,
Bakersfield,376380,Kern County,CA,California,"Bakersfield, CA",,
Aurora,361710,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
Honolulu,351792,Honolulu County,HI,Hawaii,"Urban Honolulu, HI",,
Anaheim,351043,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Santa Ana,334217,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Corpus Christi,325733,Nueces County,TX,Texas,"Corpus Christi, TX",,
Riverside,324722,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Lexington,318449,Fayette County,KY,Kentucky,"Lexington-Fayette, KY",,
St. Louis,311404,St. Louis County,MO,Missouri,"St. Louis, MO-IL",,
Stockton,307072,San Joaquin County,CA,California,"Stockton-Lodi, CA",,
Pittsburgh,303625,Allegheny County,PA,Pennsylvania,"Pittsburgh, PA",,
St. Paul,302398,Ramsey County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",,
Cincinnati,298800,Hamilton County,OH,Ohio,"Cincinnati, OH-KY-IN",,
Anchorage,298192,Anchorage Municipality,AK,Alaska,"Anchorage, AK",,
Henderson,292969,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",,
Greensboro,287027,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",,
Plano,286057,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Newark,281764,Essex County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Lincoln,280364,Lancaster County,NE,Nebraska,"Lincoln, NE",,
Toledo,278508,Lucas County,OH,Ohio,"Toledo, OH",,
Orlando,277173,Orange County,FL,Florida,"Orlando-Kissimmee-Sanford, FL",,
Chula Vista,267172,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Irvine,266122,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Fort Wayne,264488,Allen County,IN,Indiana,"Fort Wayne, IN",,
Jersey City,264152,Hudson County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Durham,263016,Durham County,NC,North Carolina,"Durham-Chapel Hill, NC",,
St. Petersburg,260999,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",,
Laredo,257156,Webb County,TX,Texas,"Laredo, TX",,
Buffalo,256902,Erie County,NY,New York,"Buffalo-Cheektowaga-Niagara Falls, NY",,
Madison,252551,Dane County,WI,Wisconsin,"Madison, WI",,
Lubbock,252506,Lubbock County,TX,Texas,"Lubbock, TX",,
Chandler,247477,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Scottsdale,246645,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Glendale,245895,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Reno,245255,Washoe County,NV,Nevada,"Reno, NV",,
Norfolk,245115,Norfolk city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Winston-Salem,242203,Davidson County,NC,North Carolina,"Winston-Salem, NC",,
North Las Vegas,238702,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",,
Irving,238289,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Chesapeake,237940,Chesapeake city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Gilbert,237133,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Hialeah,236387,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Garland,234943,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Fremont,233136,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Baton Rouge,227715,East Baton Rouge Parish,LA,Louisiana,"Baton Rouge, LA",,
Richmond,223170,Richmond city,VA,Virginia,"Richmond, VA",,
Boise,223154,Ada County,ID,Idaho,"Boise City, ID",,
San Bernardino,216239,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Spokane,215973,Spokane County,WA,Washington,"Spokane-Spokane Valley, WA",,
Des Moines,215472,Polk County,IA,Iowa,"Des Moines-West Des Moines, IA",,
Modesto,212175,Stanislaus County,CA,California,"Modesto, CA",,
Birmingham,212157,Jefferson County,AL,Alabama,"Birmingham-Hoover, AL",,
Tacoma,211277,Pierce County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Fontana,209665,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Rochester,208880,Monroe County,NY,New York,"Rochester, NY",,
Oxnard,207906,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",,
Moreno Valley,205499,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Fayetteville,204759,Cumberland County,NC,North Carolina,"Fayetteville, NC",,
Aurora,201110,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",,
Glendale,200831,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Yonkers,200807,Westchester County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Huntington Beach,200652,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Montgomery,200022,Montgomery County,AL,Alabama,"Montgomery, AL",,
Amarillo,199582,Potter County,TX,Texas,"Amarillo, TX",,
Little Rock,198541,Pulaski County,AR,Arkansas,"Little Rock-North Little Rock-Conway, AR",,
Akron,197633,Summit County,OH,Ohio,"Akron, OH",,
Columbus,197485,Muscogee County,GA,Georgia,"Columbus, GA-AL",,
Augusta-Richmond County,197081,Richmond County,GA,Georgia,"Augusta-Richmond County, GA-SC",,
Grand Rapids,196445,Kent County,MI,Michigan,"Grand Rapids-Wyoming, MI",,
Shreveport,194920,Caddo Parish,LA,Louisiana,"Shreveport-Bossier City, LA",,
Salt Lake City,193744,Salt Lake County,UT,Utah,"Salt Lake City, UT",,
Huntsville,193079,Madison County,AL,Alabama,"Huntsville, AL",,
Mobile,192904,Mobile County,AL,Alabama,"Mobile, AL",,
Tallahassee,190894,Leon County,FL,Florida,"Tallahassee, FL",,
Grand Prairie,190682,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Overland Park,188966,Johnson County,KS,Kansas,"Kansas City, MO-KS",,
Knoxville,186239,Knox County,TN,Tennessee,"Knoxville, TN",,
Port St Lucie,185132,St. Lucie County,FL,Florida,"Port St. Lucie, FL",,
Worcester,184508,Worcester County,MA,Massachusetts,"Worcester, MA-CT",,
Brownsville,183823,Cameron County,TX,Texas,"Brownsville-Harlingen, TX",,
Tempe,182498,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Santa Clarita,181972,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Newport News,181825,Newport News city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Cape Coral,179804,Lee County,FL,Florida,"Cape Coral-Fort Myers, FL",,
Providence,179219,Providence County,RI,Rhode Island,"Providence-Warwick, RI-MA",,
Fort Lauderdale,178752,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Chattanooga,177571,Hamilton County,TN,Tennessee,"Chattanooga, TN-GA",,
Rancho Cucamonga,176534,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Oceanside,175464,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Santa Rosa,175155,Sonoma County,CA,California,"Santa Rosa, CA",,
Garden Grove,174858,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Vancouver,174826,Clark County,WA,Washington,"Portland-Vancouver-Hillsboro, OR-WA",,
Sioux Falls,174360,Minnehaha County,SD,South Dakota,"Sioux Falls, SD",,
Ontario,173212,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
McKinney,172298,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Elk Grove,169743,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",,
Jackson,169148,Hinds County,MS,Mississippi,"Jackson, MS",,
Pembroke Pines,168587,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Salem,167419,Marion County,OR,Oregon,"Salem, OR",,
Springfield,167319,Greene County,MO,Missouri,"Springfield, MO",,
Corona,166785,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Eugene,166575,Lane County,OR,Oregon,"Eugene, OR",,
Fort Collins,164207,Larimer County,CO,Colorado,"Fort Collins, CO",,
Peoria,164173,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Frisco,163656,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Cary,162320,Wake County,NC,North Carolina,"Raleigh, NC",,
Lancaster,160106,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Hayward,158937,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Palmdale,157356,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Salinas,157218,Monterey County,CA,California,"Salinas, CA",,
Alexandria,155810,Arlington County,VA,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",,
Lakewood,154393,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
Springfield,154074,Hampden County,MA,Massachusetts,"Springfield, MA-CT",,
Pasadena,153351,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",,
Sunnyvale,152771,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",,
Macon,152555,Bibb County,GA,Georgia,"Macon, GA",,
Pomona,152494,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Hollywood,151998,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Kansas City,151709,Wyandotte County,KS,Kansas,"Kansas City, MO-KS",,
Escondido,151613,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Clarksville,150287,Montgomery County,TN,Tennessee,"Clarksville, TN-KY",,
Joliet,148262,Will County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",,
Rockford,147651,Winnebago County,IL,Illinois,"Rockford, IL",,
Torrance,147195,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Naperville,147122,Dupage County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",,
Paterson,147000,Passaic County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Savannah,146763,Chatham County,GA,Georgia,"Savannah, GA",,
Bridgeport,145936,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",,
Mesquite,143736,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Killeen,143400,Bell County,TX,Texas,"Killeen-Temple, TX",,
Syracuse,143378,Onondaga County,NY,New York,"Syracuse, NY",,
McAllen,142212,Hidalgo County,TX,Texas,"McAllen-Edinburg-Mission, TX",,
Pasadena,142059,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Bellevue,141400,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Fullerton,140721,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Orange,140504,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Dayton,140489,Greene County,OH,Ohio,"Dayton, OH",,
Miramar,138449,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Thornton,136703,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
West Valley City,136574,Salt Lake County,UT,Utah,"Salt Lake City, UT",,
Olathe,135473,Johnson County,KS,Kansas,"Kansas City, MO-KS",,
Hampton,135410,Hampton city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Warren,135125,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",,
