AREA_NAME,OCC_TITLE,TOT_EMP,JOBS_1000,LOC QUOTIENT,Score
"Abilene, TX",Management,"2,030",31.741,0.63,1.3
"Abilene, TX",Business and Financial Operations,"2,230",34.804,0.67,1.7
"Abilene, TX",Computer and Mathematical,920,14.402,0.49,0
"Abilene, TX",Architecture and Engineering,710,11.068,0.62,1.2
"Abilene, TX","Life, Physical, and Social Science",380,5.901,0.72,2.2
"Abilene, TX",Community and Social Service,920,14.456,1.01,5.1
"Abilene, TX",Legal,320,5.069,0.66,1.6
"Abilene, TX","Education, Training, and Library","4,540",70.968,1.15,6.5
"Abilene, TX","Arts, Design, Entertainment, Sports, and Media",830,12.977,0.96,4.6
"Abilene, TX",Healthcare Practitioners and Technical,"5,040",78.778,1.33,8.3
"Abilene, TX",Healthcare Support,"3,150",49.218,1.71,10
"Abilene, TX",Protective Service,"1,890",29.507,1.22,7.2
"Abilene, TX",Food Preparation and Serving Related,"7,150",111.86,1.21,7.1
"Abilene, TX",Building and Grounds Cleaning and Maintenance,"1,880",29.364,0.93,4.3
"Abilene, TX",Personal Care and Service,"2,460",38.389,1.19,6.9
"Abilene, TX",Sales and Related,"7,150",111.801,1.08,5.8
"Abilene, TX",Office and Administrative Support,"9,770",152.82,0.97,4.7
"Abilene, TX","Farming, Fishing, and Forestry",170,2.708,0.82,3.2
"Abilene, TX",Construction and Extraction,"3,450",53.98,1.36,8.6
"Abilene, TX","Installation, Maintenance, and Repair","2,720",42.54,1.09,5.9
"Abilene, TX",Production,"2,390",37.298,0.58,0.8
"Abilene, TX",Transportation and Material Moving,"3,860",60.352,0.87,3.7
"Akron, OH",Management,"16,610",50.734,1,5
"Akron, OH",Business and Financial Operations,"16,050",49.044,0.95,4.5
"Akron, OH",Computer and Mathematical,"7,820",23.891,0.81,3.1
"Akron, OH",Architecture and Engineering,"5,900",18.018,1.01,5.1
"Akron, OH","Life, Physical, and Social Science","1,960",5.996,0.73,2.3
"Akron, OH",Community and Social Service,"5,140",15.7,1.09,5.9
"Akron, OH",Legal,"2,190",6.685,0.87,3.7
"Akron, OH","Education, Training, and Library","20,680",63.169,1.03,5.3
"Akron, OH","Arts, Design, Entertainment, Sports, and Media","3,620",11.058,0.82,3.2
"Akron, OH",Healthcare Practitioners and Technical,"22,460",68.621,1.16,6.6
"Akron, OH",Healthcare Support,"10,940",33.406,1.16,6.6
"Akron, OH",Protective Service,"6,600",20.164,0.84,3.4
"Akron, OH",Food Preparation and Serving Related,"30,750",93.95,1.02,5.2
"Akron, OH",Building and Grounds Cleaning and Maintenance,"9,630",29.414,0.93,4.3
"Akron, OH",Personal Care and Service,"8,220",25.113,0.78,2.8
"Akron, OH",Sales and Related,"34,210",104.497,1.01,5.1
"Akron, OH",Office and Administrative Support,"52,890",161.584,1.03,5.3
"Akron, OH","Farming, Fishing, and Forestry",230,0.705,0.21,0
"Akron, OH",Construction and Extraction,"9,970",30.47,0.77,2.7
"Akron, OH","Installation, Maintenance, and Repair","12,910",39.428,1.01,5.1
"Akron, OH",Production,"27,060",82.655,1.27,7.7
"Akron, OH",Transportation and Material Moving,"21,510",65.696,0.95,4.5
"Albuquerque, NM",Management,"19,140",50.155,0.99,4.9
"Albuquerque, NM",Business and Financial Operations,"19,340",50.685,0.98,4.8
"Albuquerque, NM",Computer and Mathematical,"8,980",23.537,0.79,2.9
"Albuquerque, NM",Architecture and Engineering,"12,970",33.989,1.91,10
"Albuquerque, NM","Life, Physical, and Social Science","3,760",9.857,1.2,7
"Albuquerque, NM",Community and Social Service,"6,100",15.991,1.11,6.1
"Albuquerque, NM",Legal,"3,600",9.425,1.23,7.3
"Albuquerque, NM","Education, Training, and Library","21,920",57.455,0.93,4.3
"Albuquerque, NM","Arts, Design, Entertainment, Sports, and Media","5,330",13.959,1.03,5.3
"Albuquerque, NM",Healthcare Practitioners and Technical,"26,140",68.519,1.16,6.6
"Albuquerque, NM",Healthcare Support,"14,010",36.721,1.28,7.8
"Albuquerque, NM",Protective Service,"10,850",28.44,1.18,6.8
"Albuquerque, NM",Food Preparation and Serving Related,"37,390",97.989,1.06,5.6
"Albuquerque, NM",Building and Grounds Cleaning and Maintenance,"11,720",30.707,0.97,4.7
"Albuquerque, NM",Personal Care and Service,"17,410",45.632,1.42,9.2
"Albuquerque, NM",Sales and Related,"38,520",100.942,0.97,4.7
"Albuquerque, NM",Office and Administrative Support,"60,440",158.406,1.01,5.1
"Albuquerque, NM","Farming, Fishing, and Forestry",290,0.75,0.23,0
"Albuquerque, NM",Construction and Extraction,"17,940",47.017,1.18,6.8
"Albuquerque, NM","Installation, Maintenance, and Repair","13,640",35.744,0.92,4.2
"Albuquerque, NM",Production,"11,560",30.289,0.47,0
"Albuquerque, NM",Transportation and Material Moving,"20,530",53.791,0.78,2.8
"Allentown-Bethlehem-Easton, PA-NJ",Management,"12,820",36.152,0.72,2.2
"Allentown-Bethlehem-Easton, PA-NJ",Business and Financial Operations,"13,090",36.899,0.71,2.1
"Allentown-Bethlehem-Easton, PA-NJ",Computer and Mathematical,"6,850",19.309,0.65,1.5
"Allentown-Bethlehem-Easton, PA-NJ",Architecture and Engineering,"6,370",17.962,1.01,5.1
"Allentown-Bethlehem-Easton, PA-NJ","Life, Physical, and Social Science","1,840",5.183,0.63,1.3
"Allentown-Bethlehem-Easton, PA-NJ",Community and Social Service,"5,710",16.108,1.12,6.2
"Allentown-Bethlehem-Easton, PA-NJ",Legal,"1,460",4.103,0.54,0.4
"Allentown-Bethlehem-Easton, PA-NJ","Education, Training, and Library","21,150",59.617,0.97,4.7
"Allentown-Bethlehem-Easton, PA-NJ","Arts, Design, Entertainment, Sports, and Media","3,310",9.341,0.69,1.9
"Allentown-Bethlehem-Easton, PA-NJ",Healthcare Practitioners and Technical,"26,760",75.457,1.27,7.7
"Allentown-Bethlehem-Easton, PA-NJ",Healthcare Support,"12,260",34.556,1.2,7
"Allentown-Bethlehem-Easton, PA-NJ",Protective Service,"6,840",19.296,0.8,3
"Allentown-Bethlehem-Easton, PA-NJ",Food Preparation and Serving Related,"31,020",87.443,0.95,4.5
"Allentown-Bethlehem-Easton, PA-NJ",Building and Grounds Cleaning and Maintenance,"11,000",30.999,0.98,4.8
"Allentown-Bethlehem-Easton, PA-NJ",Personal Care and Service,"14,650",41.307,1.28,7.8
"Allentown-Bethlehem-Easton, PA-NJ",Sales and Related,"34,050",96.003,0.93,4.3
"Allentown-Bethlehem-Easton, PA-NJ",Office and Administrative Support,"57,750",162.815,1.04,5.4
"Allentown-Bethlehem-Easton, PA-NJ","Farming, Fishing, and Forestry",280,0.802,0.24,0
"Allentown-Bethlehem-Easton, PA-NJ",Construction and Extraction,"11,450",32.278,0.81,3.1
"Allentown-Bethlehem-Easton, PA-NJ","Installation, Maintenance, and Repair","13,900",39.187,1.01,5.1
"Allentown-Bethlehem-Easton, PA-NJ",Production,"26,730",75.348,1.16,6.6
"Allentown-Bethlehem-Easton, PA-NJ",Transportation and Material Moving,"35,410",99.835,1.44,9.4
"Amarillo, TX",Management,"3,510",30.382,0.6,1
"Amarillo, TX",Business and Financial Operations,"4,080",35.312,0.68,1.8
"Amarillo, TX",Computer and Mathematical,"1,530",13.292,0.45,0
"Amarillo, TX",Architecture and Engineering,"1,670",14.447,0.81,3.1
"Amarillo, TX","Life, Physical, and Social Science",590,5.122,0.62,1.2
"Amarillo, TX",Community and Social Service,"1,510",13.081,0.91,4.1
"Amarillo, TX",Legal,600,5.231,0.68,1.8
"Amarillo, TX","Education, Training, and Library","7,750",67.159,1.09,5.9
"Amarillo, TX","Arts, Design, Entertainment, Sports, and Media","1,310",11.387,0.84,3.4
"Amarillo, TX",Healthcare Practitioners and Technical,"7,510",65.039,1.1,6
"Amarillo, TX",Healthcare Support,"3,020",26.153,0.91,4.1
"Amarillo, TX",Protective Service,"3,880",33.574,1.39,8.9
"Amarillo, TX",Food Preparation and Serving Related,"11,980",103.827,1.12,6.2
"Amarillo, TX",Building and Grounds Cleaning and Maintenance,"3,830",33.143,1.05,5.5
"Amarillo, TX",Personal Care and Service,"3,350",29.052,0.9,4
"Amarillo, TX",Sales and Related,"13,950",120.829,1.17,6.7
"Amarillo, TX",Office and Administrative Support,"18,070",156.542,1,5
"Amarillo, TX","Farming, Fishing, and Forestry",450,3.916,1.19,6.9
"Amarillo, TX",Construction and Extraction,"4,940",42.794,1.08,5.8
"Amarillo, TX","Installation, Maintenance, and Repair","5,960",51.663,1.33,8.3
"Amarillo, TX",Production,"8,170",70.793,1.09,5.9
"Amarillo, TX",Transportation and Material Moving,"7,760",67.263,0.97,4.7
"Anchorage, AK",Management,"9,820",55.713,1.1,6
"Anchorage, AK",Business and Financial Operations,"9,190",52.144,1.01,5.1
"Anchorage, AK",Computer and Mathematical,"3,370",19.105,0.64,1.4
"Anchorage, AK",Architecture and Engineering,"5,070",28.801,1.62,10
"Anchorage, AK","Life, Physical, and Social Science","2,590",14.699,1.79,10
"Anchorage, AK",Community and Social Service,"3,990",22.644,1.57,10
"Anchorage, AK",Legal,"1,500",8.497,1.11,6.1
"Anchorage, AK","Education, Training, and Library","9,280",52.683,0.86,3.6
"Anchorage, AK","Arts, Design, Entertainment, Sports, and Media","2,110",12,0.89,3.9
"Anchorage, AK",Healthcare Practitioners and Technical,"10,010",56.813,0.96,4.6
"Anchorage, AK",Healthcare Support,"4,710",26.745,0.93,4.3
"Anchorage, AK",Protective Service,"3,990",22.65,0.94,4.4
"Anchorage, AK",Food Preparation and Serving Related,"17,060",96.836,1.05,5.5
"Anchorage, AK",Building and Grounds Cleaning and Maintenance,"5,710",32.424,1.03,5.3
"Anchorage, AK",Personal Care and Service,"8,400",47.678,1.48,9.8
"Anchorage, AK",Sales and Related,"16,320",92.637,0.89,3.9
"Anchorage, AK",Office and Administrative Support,"29,310",166.371,1.06,5.6
"Anchorage, AK","Farming, Fishing, and Forestry",100,0.585,0.18,0
"Anchorage, AK",Construction and Extraction,"8,960",50.837,1.28,7.8
"Anchorage, AK","Installation, Maintenance, and Repair","7,880",44.736,1.15,6.5
"Anchorage, AK",Production,"3,590",20.365,0.31,0
"Anchorage, AK",Transportation and Material Moving,"13,220",75.036,1.08,5.8
"Ann Arbor, MI",Management,"11,480",54.393,1.08,5.8
"Ann Arbor, MI",Business and Financial Operations,"11,080",52.517,1.01,5.1
"Ann Arbor, MI",Computer and Mathematical,"8,090",38.354,1.29,7.9
"Ann Arbor, MI",Architecture and Engineering,"5,870",27.807,1.56,10
"Ann Arbor, MI","Life, Physical, and Social Science","9,740",46.169,5.62,10
"Ann Arbor, MI",Community and Social Service,"2,600",12.328,0.86,3.6
"Ann Arbor, MI",Legal,960,4.569,0.6,1
"Ann Arbor, MI","Education, Training, and Library","23,650",112.087,1.82,10
"Ann Arbor, MI","Arts, Design, Entertainment, Sports, and Media","3,000",14.231,1.05,5.5
"Ann Arbor, MI",Healthcare Support,"7,000",33.163,1.15,6.5
"Ann Arbor, MI",Protective Service,"2,500",11.84,0.49,0
"Ann Arbor, MI",Food Preparation and Serving Related,"18,050",85.56,0.93,4.3
"Ann Arbor, MI",Building and Grounds Cleaning and Maintenance,"5,310",25.16,0.8,3
"Ann Arbor, MI",Personal Care and Service,"6,210",29.447,0.92,4.2
"Ann Arbor, MI",Sales and Related,"16,060",76.097,0.73,2.3
"Ann Arbor, MI",Office and Administrative Support,"30,970",146.776,0.94,4.4
"Ann Arbor, MI","Farming, Fishing, and Forestry",0,0,0,0
"Ann Arbor, MI",Construction and Extraction,"3,240",15.365,0.39,0
"Ann Arbor, MI","Installation, Maintenance, and Repair","5,780",27.406,0.71,2.1
"Ann Arbor, MI",Production,"11,210",53.141,0.82,3.2
"Ann Arbor, MI",Transportation and Material Moving,"8,330",39.488,0.57,0.7
"Athens-Clarke County, GA",Management,"3,970",47.955,0.95,4.5
"Athens-Clarke County, GA",Business and Financial Operations,"2,780",33.604,0.65,1.5
"Athens-Clarke County, GA",Computer and Mathematical,"1,220",14.679,0.49,0
"Athens-Clarke County, GA",Architecture and Engineering,680,8.197,0.46,0
"Athens-Clarke County, GA","Life, Physical, and Social Science","2,860",34.505,4.2,10
"Athens-Clarke County, GA",Community and Social Service,960,11.548,0.8,3
"Athens-Clarke County, GA",Legal,440,5.364,0.7,2
"Athens-Clarke County, GA","Education, Training, and Library","8,310",100.295,1.63,10
"Athens-Clarke County, GA","Arts, Design, Entertainment, Sports, and Media",830,9.996,0.74,2.4
"Athens-Clarke County, GA",Healthcare Practitioners and Technical,"6,100",73.659,1.24,7.4
"Athens-Clarke County, GA",Healthcare Support,"1,870",22.518,0.78,2.8
"Athens-Clarke County, GA",Protective Service,"1,570",18.893,0.78,2.8
"Athens-Clarke County, GA",Food Preparation and Serving Related,"9,780",118.05,1.28,7.8
"Athens-Clarke County, GA",Building and Grounds Cleaning and Maintenance,"2,490",30.007,0.95,4.5
"Athens-Clarke County, GA",Personal Care and Service,"2,310",27.846,0.87,3.7
"Athens-Clarke County, GA",Sales and Related,"8,390",101.226,0.98,4.8
"Athens-Clarke County, GA",Office and Administrative Support,"13,210",159.508,1.02,5.2
"Athens-Clarke County, GA","Farming, Fishing, and Forestry",190,2.243,0.68,1.8
"Athens-Clarke County, GA",Construction and Extraction,"2,110",25.452,0.64,1.4
"Athens-Clarke County, GA","Installation, Maintenance, and Repair","2,910",35.104,0.9,4
"Athens-Clarke County, GA",Production,"5,060",61.034,0.94,4.4
"Athens-Clarke County, GA",Transportation and Material Moving,"4,830",58.319,0.84,3.4
"Atlanta-Sandy Springs-Roswell, GA",Management,"166,550",65.228,1.29,7.9
"Atlanta-Sandy Springs-Roswell, GA",Business and Financial Operations,"167,020",65.413,1.26,7.6
"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical,"114,580",44.874,1.51,10
"Atlanta-Sandy Springs-Roswell, GA",Architecture and Engineering,"41,020",16.064,0.9,4
"Atlanta-Sandy Springs-Roswell, GA","Life, Physical, and Social Science","12,760",4.996,0.61,1.1
"Atlanta-Sandy Springs-Roswell, GA",Community and Social Service,"24,950",9.771,0.68,1.8
"Atlanta-Sandy Springs-Roswell, GA",Legal,"22,310",8.738,1.14,6.4
"Atlanta-Sandy Springs-Roswell, GA","Education, Training, and Library","145,470",56.972,0.93,4.3
"Atlanta-Sandy Springs-Roswell, GA","Arts, Design, Entertainment, Sports, and Media","36,470",14.283,1.05,5.5
"Atlanta-Sandy Springs-Roswell, GA",Healthcare Practitioners and Technical,"128,200",50.208,0.85,3.5
"Atlanta-Sandy Springs-Roswell, GA",Healthcare Support,"54,340",21.282,0.74,2.4
"Atlanta-Sandy Springs-Roswell, GA",Protective Service,"56,580",22.158,0.92,4.2
"Atlanta-Sandy Springs-Roswell, GA",Food Preparation and Serving Related,"238,240",93.305,1.01,5.1
