City,Population,County,State,FullState,MSA,Population Score
New York,8537673,Bronx County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",10.0
Los Angeles,3976322,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",10.0
Chicago,2704958,Cook County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",10.0
Houston,2303482,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",10.0
Phoenix,1615017,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",10.0
Philadelphia,1567872,Philadelphia County,PA,Pennsylvania,"Philadelphia, PA Metropolitan Division",10.0
San Antonio,1492510,Bexar County,TX,Texas,"San Antonio-New Braunfels, TX",10.0
San Diego,1406630,San Diego County,CA,California,"San Diego-Carlsbad, CA",10.0
Dallas,1317929,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",10.0
San Jose,1025350,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",10.0
Austin,947890,Travis County,TX,Texas,"Austin-Round Rock, TX",9.2
Jacksonville,880619,Duval County,FL,Florida,"Jacksonville, FL",8.6
San Francisco,870887,San Francisco County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",8.5
Columbus,860090,Franklin County,OH,Ohio,"Columbus, OH",8.4
Indianapolis,855164,Marion County,IN,Indiana,"Indianapolis-Carmel-Anderson, IN",8.3
Fort Worth,854113,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",8.3
Charlotte,842051,Mecklenburg County,NC,North Carolina,"Charlotte-Concord-Gastonia, NC-SC",8.2
Seattle,704352,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",6.9
Denver,693060,Denver County,CO,Colorado,"Denver-Aurora-Lakewood, CO",6.8
El Paso,683080,El Paso County,TX,Texas,"El Paso, TX",6.7
Washington,681170,District of Columbia,DC,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",6.6
Boston,673184,Suffolk County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",6.6
Detroit,672795,Wayne County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",6.6
Nashville-Davidson County,660388,Davidson County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",6.4
Memphis,652717,Shelby County,TN,Tennessee,"Memphis, TN-MS-AR",6.4
Portland,639863,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",6.2
Oklahoma City,638367,Oklahoma County,OK,Oklahoma,"Oklahoma City, OK",6.2
Las Vegas,632912,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",6.2
Lousville-Jefferson County,616261,Jefferson County,KY,Kentucky,"Louisville/Jefferson County, KY-IN",6.0
Baltimore,614664,Baltimore County,MD,Maryland,"Baltimore-Columbia-Towson, MD",6.0
Milwaukee,595047,Milwaukee County,WI,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",5.8
Albuquerque,559277,Bernalillo County,NM,New Mexico,"Albuquerque, NM",5.5
Tucson,530706,Pima County,AZ,Arizona,"Tucson, AZ",5.2
Fresno,522053,Fresno County,CA,California,"Fresno, CA",5.1
Sacramento,495234,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",4.8
Mesa,484587,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",4.7
Kansas City,481420,Jackson County,MO,Missouri,"Kansas City, MO-KS",4.7
Atlanta,472522,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",4.6
Long Beach,470130,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",4.6
Colorado Springs,465101,El Paso County,CO,Colorado,"Colorado Springs, CO",4.5
Raleigh,458880,Wake County,NC,North Carolina,"Raleigh, NC",4.5
Miami,453579,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",4.4
Virginia Beach,452602,Virginia Beach city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",4.4
Omaha,446970,Douglas County,NE,Nebraska,"Omaha-Council Bluffs, NE-IA",4.4
Oakland,420005,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",4.1
Minneapolis,413651,Hennepin County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0
Tulsa,403090,Tulsa County,OK,Oklahoma,"Tulsa, OK",3.9
Arlington,392772,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",3.8
New Orleans,391495,Orleans Parish,LA,Louisiana,"New Orleans-Metairie, LA",3.8
Wichita,389902,Sedgwick County,KS,Kansas,"Wichita, KS",3.8
Cleveland,385809,Cuyahoga County,OH,Ohio,"Cleveland-Elyria, OH",3.8
Tampa,377165,Hillsborough County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",3.7
Bakersfield,376380,Kern County,CA,California,"Bakersfield, CA",3.7
Aurora,361710,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",3.5
Honolulu,351792,Honolulu County,HI,Hawaii,"Urban Honolulu, HI",3.4
Anaheim,351043,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",3.4
Santa Ana,334217,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",3.3
Corpus Christi,325733,Nueces County,TX,Texas,"Corpus Christi, TX",3.2
Riverside,324722,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",3.2
Lexington,318449,Fayette County,KY,Kentucky,"Lexington-Fayette, KY",3.1
St. Louis,311404,St. Louis County,MO,Missouri,"St. Louis, MO-IL",3.0
Stockton,307072,San Joaquin County,CA,California,"Stockton-Lodi, CA",3.0
Pittsburgh,303625,Allegheny County,PA,Pennsylvania,"Pittsburgh, PA",3.0
St. Paul,302398,Ramsey County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",2.9
Cincinnati,298800,Hamilton County,OH,Ohio,"Cincinnati, OH-KY-IN",2.9
Anchorage,298192,Anchorage Municipality,AK,Alaska,"Anchorage, AK",2.9
Henderson,292969,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",2.9
Greensboro,287027,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",2.8
Plano,286057,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.8
Newark,281764,Essex County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2.7
Lincoln,280364,Lancaster County,NE,Nebraska,"Lincoln, NE",2.7
Toledo,278508,Lucas County,OH,Ohio,"Toledo, OH",2.7
Orlando,277173,Orange County,FL,Florida,"Orlando-Kissimmee-Sanford, FL",2.7
Chula Vista,267172,San Diego County,CA,California,"San Diego-Carlsbad, CA",2.6
Irvine,266122,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2.6
Fort Wayne,264488,Allen County,IN,Indiana,"Fort Wayne, IN",2.6
Jersey City,264152,Hudson County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2.6
Durham,263016,Durham County,NC,North Carolina,"Durham-Chapel Hill, NC",2.6
St. Petersburg,260999,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",2.5
Laredo,257156,Webb County,TX,Texas,"Laredo, TX",2.5
Buffalo,256902,Erie County,NY,New York,"Buffalo-Cheektowaga-Niagara Falls, NY",2.5
Madison,252551,Dane County,WI,Wisconsin,"Madison, WI",2.5
Lubbock,252506,Lubbock County,TX,Texas,"Lubbock, TX",2.5
Chandler,247477,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4
Scottsdale,246645,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4
Glendale,245895,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4
Reno,245255,Washoe County,NV,Nevada,"Reno, NV",2.4
Norfolk,245115,Norfolk city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",2.4
Winston-Salem,242203,Davidson County,NC,North Carolina,"Winston-Salem, NC",2.4
North Las Vegas,238702,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",2.3
Irving,238289,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.3
Chesapeake,237940,Chesapeake city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",2.3
Gilbert,237133,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.3
Hialeah,236387,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",2.3
Garland,234943,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.3
Fremont,233136,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",2.3
Baton Rouge,227715,East Baton Rouge Parish,LA,Louisiana,"Baton Rouge, LA",2.2
Richmond,223170,Richmond city,VA,Virginia,"Richmond, VA",2.2
Boise,223154,Ada County,ID,Idaho,"Boise City, ID",2.2
San Bernardino,216239,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",2.1
Spokane,215973,Spokane County,WA,Washington,"Spokane-Spokane Valley, WA",2.1
Des Moines,215472,Polk County,IA,Iowa,"Des Moines-West Des Moines, IA",2.1
Modesto,212175,Stanislaus County,CA,California,"Modesto, CA",2.1
Birmingham,212157,Jefferson County,AL,Alabama,"Birmingham-Hoover, AL",2.1
Tacoma,211277,Pierce County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",2.1
Fontana,209665,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",2.0
Rochester,208880,Monroe County,NY,New York,"Rochester, NY",2.0
Oxnard,207906,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",2.0
Moreno Valley,205499,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",2.0
Fayetteville,204759,Cumberland County,NC,North Carolina,"Fayetteville, NC",2.0
Aurora,201110,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",2.0
Glendale,200831,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2.0
Yonkers,200807,Westchester County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2.0
Huntington Beach,200652,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2.0
Montgomery,200022,Montgomery County,AL,Alabama,"Montgomery, AL",2.0
Amarillo,199582,Potter County,TX,Texas,"Amarillo, TX",1.9
Little Rock,198541,Pulaski County,AR,Arkansas,"Little Rock-North Little Rock-Conway, AR",1.9
Akron,197633,Summit County,OH,Ohio,"Akron, OH",1.9
Columbus,197485,Muscogee County,GA,Georgia,"Columbus, GA-AL",1.9
Augusta-Richmond County,197081,Richmond County,GA,Georgia,"Augusta-Richmond County, GA-SC",1.9
Grand Rapids,196445,Kent County,MI,Michigan,"Grand Rapids-Wyoming, MI",1.9
Shreveport,194920,Caddo Parish,LA,Louisiana,"Shreveport-Bossier City, LA",1.9
Salt Lake City,193744,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.9
Huntsville,193079,Madison County,AL,Alabama,"Huntsville, AL",1.9
Mobile,192904,Mobile County,AL,Alabama,"Mobile, AL",1.9
Tallahassee,190894,Leon County,FL,Florida,"Tallahassee, FL",1.9
Grand Prairie,190682,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.9
Overland Park,188966,Johnson County,KS,Kansas,"Kansas City, MO-KS",1.8
