,id,ident,type,airport,latitude,longitude,country,state,city
25500,16091,KABQ,large_airport,Albuquerque International Sunport Airport,35.040199,-106.609001,US,US-NM,Albuquerque
25519,3364,KADW,large_airport,Andrews Air Force Base,38.810798999999996,-76.866997,US,US-MD,Camp Springs
25532,3366,KAFW,large_airport,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,US,US-TX,Fort Worth
25536,3368,KAGS,large_airport,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,US,US-GA,Augusta
25569,3377,KAMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,US,US-TX,Amarillo
25621,3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669967651367,-84.4281005859375,US,US-GA,Atlanta
25630,3386,KAUS,large_airport,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,US,US-TX,Austin
25634,3387,KAVL,large_airport,Asheville Regional Airport,35.43619918823242,-82.54180145263672,US,US-NC,Asheville
25658,3391,KBAB,large_airport,Beale Air Force Base,39.136100769,-121.43699646,US,US-CA,Marysville
25659,3392,KBAD,large_airport,Barksdale Air Force Base,32.5018005371,-93.6626968384,US,US-LA,Bossier City
25676,3396,KBDL,large_airport,Bradley International Airport,41.9388999939,-72.68319702149999,US,US-CT,Hartford
25691,3401,KBFI,large_airport,Boeing Field King County International Airport,47.52999877929688,-122.302001953125,US,US-WA,Seattle
25701,3405,KBGR,large_airport,Bangor International Airport,44.80739974975586,-68.82810211181639,US,US-ME,Bangor
25705,3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,US,US-AL,Birmingham
25711,3408,KBIL,large_airport,Billings Logan International Airport,45.807701110839844,-108.54299926757812,US,US-MT,Billings
25733,3417,KBLV,large_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,US,US-IL,Belleville
25737,3419,KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,US,US-IL,Bloomington/Normal
25741,3420,KBNA,large_airport,Nashville International Airport,36.1245002746582,-86.6781997680664,US,US-TN,Nashville
25746,3421,KBOI,large_airport,Boise Air Terminal/Gowen field,43.56439972,-116.22299960000001,US,US-ID,Boise
25747,3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,US,US-MA,Boston
25768,3429,KBTR,large_airport,"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,US,US-LA,Baton Rouge
25772,3431,KBUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,US,US-NY,Buffalo
25786,3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,US,US-MD,Baltimore
25825,3438,KCAE,large_airport,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297,US,US-SC,Columbia
25835,3441,KCBM,large_airport,Columbus Air Force Base,33.643798828099996,-88.44380187990002,US,US-MS,Columbus
25873,3448,KCHA,large_airport,Lovell Field,35.03530120849609,-85.20379638671875,US,US-TN,Chattanooga
25880,3450,KCHS,large_airport,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,US,US-SC,Charleston
25884,3451,KCID,large_airport,The Eastern Iowa Airport,41.88470077514648,-91.71080017089844,US,US-IA,Cedar Rapids
25901,3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.411701202399996,-81.8498001099,US,US-OH,Cleveland
25908,3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,US,US-NC,Charlotte
25911,3458,KCMH,large_airport,Port Columbus International Airport,39.99800109863281,-82.89189910888672,US,US-OH,Columbus
25934,3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.805801391602,-104.70099639893,US,US-CO,Colorado Springs
25940,3465,KCPR,large_airport,Casper-Natrona County International Airport,42.90800095,-106.4639969,US,US-WY,Casper
25953,3466,KCRP,large_airport,Corpus Christi International Airport,27.77039909362793,-97.5011978149414,US,US-TX,Corpus Christi
25957,3467,KCRW,large_airport,Yeager Airport,38.37310028076172,-81.59320068359375,US,US-WV,Charleston
25975,3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,US,US-KY,Cincinnati
25979,3473,KCVS,large_airport,Cannon Air Force Base,34.3828010559,-103.321998596,US,US-NM,Clovis
26032,3478,KDAB,large_airport,Daytona Beach International Airport,29.179899,-81.058098,US,US-FL,Daytona Beach
26035,3479,KDAL,large_airport,Dallas Love Field,32.847099,-96.851799,US,US-TX,Dallas
26038,3481,KDAY,large_airport,James M Cox Dayton International Airport,39.90240097045898,-84.21939849853516,US,US-OH,Dayton
26040,3482,KDBQ,large_airport,Dubuque Regional Airport,42.40200043,-90.70950317,US,US-IA,Dubuque
26041,3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,US,US-DC,Washington
26050,3486,KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,US,US-CO,Denver
26055,3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896800994873054,-97.03800201416016,US,US-TX,Dallas-Fort Worth
26067,3490,KDLF,large_airport,Laughlin Air Force Base,29.359500885,-100.77799987799999,US,US-TX,Del Rio
26068,3491,KDLH,large_airport,Duluth International Airport,46.8420982361,-92.19360351559999,US,US-MN,Duluth
26082,3494,KDOV,large_airport,Dover Air Force Base,39.12950134,-75.46600342,US,US-DE,Dover
26096,3496,KDSM,large_airport,Des Moines International Airport,41.53400039672852,-93.66310119628906,US,US-IA,Des Moines
26103,3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,US,US-MI,Detroit
26128,3499,KDYS,large_airport,Dyess Air Force Base,32.4207992554,-99.85459899899999,US,US-TX,Abilene
26493,3503,KEDW,large_airport,Edwards Air Force Base,34.905398999999996,-117.884003,US,US-CA,Edwards
26537,3513,KEND,large_airport,Vance Air Force Base,36.339199066199996,-97.9164962769,US,US-OK,Enid
26549,3515,KERI,large_airport,Erie International Tom Ridge Field,42.0831270134,-80.1738667488,US,US-PA,Erie
26574,3521,KEWR,large_airport,Newark Liberty International Airport,40.69250106811523,-74.168701171875,US,US-NJ,Newark
26661,3528,KFFO,large_airport,Wright-Patterson Air Force Base,39.8260993958,-84.04830169680001,US,US-OH,Dayton
26677,3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599411010746,-80.15270233154297,US,US-FL,Fort Lauderdale
26712,3543,KFSM,large_airport,Fort Smith Regional Airport,35.33660125732422,-94.36740112304688,US,US-AR,Fort Smith
26720,3545,KFTW,large_airport,Fort Worth Meacham International Airport,32.819801,-97.36239599999999,US,US-TX,Fort Worth
26725,3547,KFWA,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,US,US-IN,Fort Wayne
26805,3552,KGEG,large_airport,Spokane International Airport,47.61989974975586,-117.53399658203124,US,US-WA,Spokane
26852,3561,KGPT,large_airport,Gulfport Biloxi International Airport,30.40730094909668,-89.07009887695312,US,US-MS,Gulfport
26855,3562,KGRB,large_airport,Austin Straubel International Airport,44.48509979248047,-88.12960052490234,US,US-WI,Green Bay
26864,3567,KGSB,large_airport,Seymour Johnson Air Force Base,35.33940125,-77.96060181,US,US-NC,Goldsboro
26866,3568,KGSO,large_airport,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,US,US-NC,Greensboro
26867,3569,KGSP,large_airport,Greenville Spartanburg International Airport,34.895698547399995,-82.2189025879,US,US-SC,Greenville
26877,3573,KGUS,large_airport,Grissom Air Reserve Base,40.648101806599996,-86.15209960940001,US,US-IN,Peru
26954,3579,KHIB,large_airport,Range Regional Airport,47.38660049,-92.83899689,US,US-MN,Hibbing
26974,3584,KHMN,large_airport,Holloman Air Force Base,32.8525009155,-106.107002258,US,US-NM,Alamogordo
26988,3588,KHOU,large_airport,William P Hobby Airport,29.64539909,-95.27890015,US,US-TX,Houston
27012,3594,KHSV,large_airport,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,US,US-AL,Huntsville
27016,3595,KHTS,large_airport,Tri-State/Milton J. Ferguson Field,38.36669922,-82.55799866,US,US-WV,Huntington
27082,3602,KIAD,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,US,US-DC,Washington
27084,3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,US,US-TX,Houston
27089,3605,KICT,large_airport,Wichita Mid Continent Airport,37.649898529052734,-97.43309783935548,US,US-KS,Wichita
27119,3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,US,US-IN,Indianapolis
27156,3619,KJAN,large_airport,Jackson-Medgar Wiley Evers International Airport,32.3111991882,-90.0758972168,US,US-MS,Jackson
27159,3620,KJAX,large_airport,Jacksonville International Airport,30.49410057067871,-81.68789672851562,US,US-FL,Jacksonville
27167,3622,KJFK,large_airport,John F Kennedy International Airport,40.63980103,-73.77890015,US,US-NY,New York
27175,3623,KJLN,large_airport,Joplin Regional Airport,37.151798248291016,-94.49829864501952,US,US-MO,Joplin
27281,3631,KLAS,large_airport,McCarran International Airport,36.08010101,-115.15200039999999,US,US-NV,Las Vegas
27283,3632,KLAX,large_airport,Los Angeles International Airport,33.94250107,-118.40799709999999,US,US-CA,Los Angeles
27284,3633,KLBB,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,US,US-TX,Lubbock
27295,3638,KLCK,large_airport,Rickenbacker International Airport,39.813801,-82.927803,US,US-OH,Columbus
27303,3640,KLEX,large_airport,Blue Grass Airport,38.0364990234375,-84.60590362548828,US,US-KY,Lexington
27304,3641,KLFI,large_airport,Langley Air Force Base,37.082901000999996,-76.360496521,US,US-VA,Hampton
27306,3642,KLFT,large_airport,Lafayette Regional Airport,30.20529938,-91.98760223,US,US-LA,Lafayette
27307,3643,KLGA,large_airport,La Guardia Airport,40.77719879,-73.87259674,US,US-NY,New York
27322,3645,KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729400634799994,-92.22429656979999,US,US-AR,Little Rock
27368,3657,KLTS,large_airport,Altus Air Force Base,34.667098999000004,-99.26670074459999,US,US-OK,Altus
27371,3658,KLUF,large_airport,Luke Air Force Base,33.534999847399995,-112.383003235,US,US-AZ,Glendale
